0000 | ILLEGAL OPCODE
0001 | ILLEGAL OPCODE
0002 | ILLEGAL OPCODE
0003 | ILLEGAL OPCODE
0004 | ILLEGAL OPCODE
0005 | ILLEGAL OPCODE
0006 | ILLEGAL OPCODE
0007 | ILLEGAL OPCODE
0008 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0009 | b'*** BREAK INTO MONITOR AT $000A ***\nR0=$00FF R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0B000F104CF216F000000000]\nReady.\n> '
000A | b'*** BREAK INTO MONITOR AT $000A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0B000F104CF216F000000000]\nReady.\n> '
000B | b'*** BREAK INTO MONITOR AT $000B ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0C000F104CF216F000000000]\nReady.\n> '
000C | b'*** BREAK INTO MONITOR AT $000C ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0D000F104CF216F000000000]\nReady.\n> '
000D | b'*** BREAK INTO MONITOR AT $000D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0E000F104CF216F000000000]\nReady.\n> '
000E | b'*** BREAK INTO MONITOR AT $000E ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [0F000F104CF216F000000000]\nReady.\n> '
000F | b'*** BREAK INTO MONITOR AT $000F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [10000F104CF216F000000000]\nReady.\n> '
0010 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0011 | b'*** BREAK INTO MONITOR AT $0012 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [13000F104CF216F000000000]\nReady.\n> '
0012 | b'*** BREAK INTO MONITOR AT $0012 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [13000F104CF216F000000000]\nReady.\n> '
0013 | b'*** BREAK INTO MONITOR AT $0013 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [14000F104CF216F000000000]\nReady.\n> '
0014 | b'*** BREAK INTO MONITOR AT $0014 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [15000F104CF216F000000000]\nReady.\n> '
0015 | b'*** BREAK INTO MONITOR AT $0015 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [16000F104CF216F000000000]\nReady.\n> '
0016 | b'*** BREAK INTO MONITOR AT $0016 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [17000F104CF216F000000000]\nReady.\n> '
0017 | b'*** BREAK INTO MONITOR AT $0017 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [18000F104CF216F000000000]\nReady.\n> '
0018 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0019 | b'*** BREAK INTO MONITOR AT $001A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1B000F104CF216F000000000]\nReady.\n> '
001A | b'*** BREAK INTO MONITOR AT $001A ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1B000F104CF216F000000000]\nReady.\n> '
001B | b'*** BREAK INTO MONITOR AT $001B ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1C000F104CF216F000000000]\nReady.\n> '
001C | b'*** BREAK INTO MONITOR AT $001C ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1D000F104CF216F000000000]\nReady.\n> '
001D | b'*** BREAK INTO MONITOR AT $001D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1E000F104CF216F000000000]\nReady.\n> '
001E | b'*** BREAK INTO MONITOR AT $001E ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [1F000F104CF216F000000000]\nReady.\n> '
001F | b'*** BREAK INTO MONITOR AT $001F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [20000F104CF216F000000000]\nReady.\n> '
0020 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0021 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [26000F104CF216F000000000]\nReady.\n> '
0022 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [26000F104CF216F000000000]\nReady.\n> '
0023 | b'*** BREAK INTO MONITOR AT $0023 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [24000F104CF216F000000000]\nReady.\n> '
0024 | b'*** BREAK INTO MONITOR AT $0024 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [25000F104CF216F000000000]\nReady.\n> '
0025 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [26000F104CF216F000000000]\nReady.\n> '
0026 | b'*** BREAK INTO MONITOR AT $0026 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [27000F104CF216F000000000]\nReady.\n> '
0027 | b'*** BREAK INTO MONITOR AT $0027 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [28000F104CF216F000000000]\nReady.\n> '
0028 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0029 | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2E000F104CF216F000000000]\nReady.\n> '
002A | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2E000F104CF216F000000000]\nReady.\n> '
002B | b'*** BREAK INTO MONITOR AT $002B ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2C000F104CF216F000000000]\nReady.\n> '
002C | b'*** BREAK INTO MONITOR AT $002C ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2D000F104CF216F000000000]\nReady.\n> '
002D | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2E000F104CF216F000000000]\nReady.\n> '
002E | b'*** BREAK INTO MONITOR AT $002E ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [2F000F104CF216F000000000]\nReady.\n> '
002F | b'*** BREAK INTO MONITOR AT $002F ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [30000F104CF216F000000000]\nReady.\n> '
0030 | Timed out, infinite loop?
0031 | ILLEGAL OPCODE
0032 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [36000F104CF216F000000000]\nReady.\n> '
0033 | b'*** BREAK INTO MONITOR AT $0033 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [34000F104CF216F000000000]\nReady.\n> '
0034 | b'*** BREAK INTO MONITOR AT $0034 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [35000F104CF216F000000000]\nReady.\n> '
0035 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [36000F104CF216F000000000]\nReady.\n> '
0036 | b'*** BREAK INTO MONITOR AT $0036 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [37000F104CF216F000000000]\nReady.\n> '
0037 | b'*** BREAK INTO MONITOR AT $0037 ***\nR0=$0000 R1=$0000 R2=$0000 R3=$0000\nSP=$FEF8 [38000F104CF216F000000000]\nReady.\n> '
0038 | b'*** BREAK INTO MONITOR AT $100F ***\nR0=$0000 R1=$0000 R2=$000A R3=$0000\nSP=$FEFA [10104CF216F0000000000000]\nReady.\n> '
0039 | ILLEGAL OPCODE
