0000 | ILLEGAL OPCODE
0001 | ILLEGAL OPCODE
0002 | ILLEGAL OPCODE
0003 | ILLEGAL OPCODE
0004 | ILLEGAL OPCODE
0005 | ILLEGAL OPCODE
0006 | ILLEGAL OPCODE
0007 | ILLEGAL OPCODE
0008 | b'Ready.\n> '
0009 | b'*** BREAK INTO MONITOR AT $000A ***\nR0=$0041 R1=$0009 R2=$E002 R3=$0009\nSP=$FEFA [0B004CF216F0000000000000]\nReady.\n> '
000A | b'*** BREAK INTO MONITOR AT $000A ***\nR0=$0059 R1=$000A R2=$E002 R3=$000A\nSP=$FEFA [0B004CF216F0000000000000]\nReady.\n> '
000B | b'*** BREAK INTO MONITOR AT $000B ***\nR0=$0059 R1=$000B R2=$E002 R3=$000B\nSP=$FEFA [0C004CF216F0000000000000]\nReady.\n> '
000C | b'*** BREAK INTO MONITOR AT $000C ***\nR0=$0059 R1=$000C R2=$E002 R3=$000C\nSP=$FEFA [0D004CF216F0000000000000]\nReady.\n> '
000D | b'*** BREAK INTO MONITOR AT $000D ***\nR0=$0059 R1=$000D R2=$E002 R3=$000D\nSP=$FEFA [0E004CF216F0000000000000]\nReady.\n> '
000E | b'*** BREAK INTO MONITOR AT $000E ***\nR0=$0059 R1=$000E R2=$E002 R3=$000E\nSP=$FEFA [0F004CF216F0000000000000]\nReady.\n> '
000F | b'*** BREAK INTO MONITOR AT $000F ***\nR0=$0059 R1=$000F R2=$E002 R3=$000F\nSP=$FEFA [10004CF216F0000000000000]\nReady.\n> '
0010 | b'Ready.\n> '
0011 | b'*** BREAK INTO MONITOR AT $0012 ***\nR0=$0059 R1=$0001 R2=$E002 R3=$0011\nSP=$FEFA [13004CF216F0000000000000]\nReady.\n> '
0012 | b'*** BREAK INTO MONITOR AT $0012 ***\nR0=$0059 R1=$0002 R2=$E002 R3=$0012\nSP=$FEFA [13004CF216F0000000000000]\nReady.\n> '
0013 | b'*** BREAK INTO MONITOR AT $0013 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0013\nSP=$FEFA [14004CF216F0000000000000]\nReady.\n> '
0014 | b'*** BREAK INTO MONITOR AT $0014 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0014\nSP=$FEFA [15004CF216F0000000000000]\nReady.\n> '
0015 | b'*** BREAK INTO MONITOR AT $0015 ***\nR0=$0059 R1=$0005 R2=$E002 R3=$0015\nSP=$FEFA [16004CF216F0000000000000]\nReady.\n> '
0016 | b'*** BREAK INTO MONITOR AT $0016 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0016\nSP=$FEFA [17004CF216F0000000000000]\nReady.\n> '
0017 | b'*** BREAK INTO MONITOR AT $0017 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$0017\nSP=$FEFA [18004CF216F0000000000000]\nReady.\n> '
0018 | b'Ready.\n> '
0019 | b'*** BREAK INTO MONITOR AT $001A ***\nR0=$E05B R1=$0009 R2=$E002 R3=$0019\nSP=$FEFA [1B004CF216F0000000000000]\nReady.\n> '
001A | b'*** BREAK INTO MONITOR AT $001A ***\nR0=$0059 R1=$000A R2=$E002 R3=$001A\nSP=$FEFA [1B004CF216F0000000000000]\nReady.\n> '
001B | b'*** BREAK INTO MONITOR AT $001B ***\nR0=$0059 R1=$000B R2=$E002 R3=$001B\nSP=$FEFA [1C004CF216F0000000000000]\nReady.\n> '
001C | b'*** BREAK INTO MONITOR AT $001C ***\nR0=$0059 R1=$000C R2=$E002 R3=$001C\nSP=$FEFA [1D004CF216F0000000000000]\nReady.\n> '
001D | b'*** BREAK INTO MONITOR AT $001D ***\nR0=$0059 R1=$000D R2=$E002 R3=$001D\nSP=$FEFA [1E004CF216F0000000000000]\nReady.\n> '
001E | b'*** BREAK INTO MONITOR AT $001E ***\nR0=$0059 R1=$000E R2=$E002 R3=$001E\nSP=$FEFA [1F004CF216F0000000000000]\nReady.\n> '
001F | b'*** BREAK INTO MONITOR AT $001F ***\nR0=$0059 R1=$000F R2=$E002 R3=$001F\nSP=$FEFA [20004CF216F0000000000000]\nReady.\n> '
0020 | b'Ready.\n> '
0021 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0000 R1=$0001 R2=$E002 R3=$0021\nSP=$FEFA [26004CF216F0000000000000]\nReady.\n> '
0022 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0000 R1=$0002 R2=$E002 R3=$0022\nSP=$FEFA [26004CF216F0000000000000]\nReady.\n> '
0023 | b'*** BREAK INTO MONITOR AT $0023 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0023\nSP=$FEFA [24004CF216F0000000000000]\nReady.\n> '
0024 | b'*** BREAK INTO MONITOR AT $0024 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0024\nSP=$FEFA [25004CF216F0000000000000]\nReady.\n> '
0025 | b'*** BREAK INTO MONITOR AT $0025 ***\nR0=$0059 R1=$0005 R2=$E002 R3=$0025\nSP=$FEFA [26004CF216F0000000000000]\nReady.\n> '
0026 | b'*** BREAK INTO MONITOR AT $0026 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0026\nSP=$FEFA [27004CF216F0000000000000]\nReady.\n> '
0027 | b'*** BREAK INTO MONITOR AT $0027 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$0027\nSP=$FEFA [28004CF216F0000000000000]\nReady.\n> '
0028 | b'Ready.\n> '
0029 | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0000 R1=$0009 R2=$E002 R3=$0029\nSP=$FEFA [2E004CF216F0000000000000]\nReady.\n> '
002A | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0000 R1=$000A R2=$E002 R3=$002A\nSP=$FEFA [2E004CF216F0000000000000]\nReady.\n> '
002B | b'*** BREAK INTO MONITOR AT $002B ***\nR0=$0059 R1=$000B R2=$E002 R3=$002B\nSP=$FEFA [2C004CF216F0000000000000]\nReady.\n> '
002C | b'*** BREAK INTO MONITOR AT $002C ***\nR0=$0059 R1=$000C R2=$E002 R3=$002C\nSP=$FEFA [2D004CF216F0000000000000]\nReady.\n> '
002D | b'*** BREAK INTO MONITOR AT $002D ***\nR0=$0059 R1=$000D R2=$E002 R3=$002D\nSP=$FEFA [2E004CF216F0000000000000]\nReady.\n> '
002E | b'*** BREAK INTO MONITOR AT $002E ***\nR0=$0059 R1=$000E R2=$E002 R3=$002E\nSP=$FEFA [2F004CF216F0000000000000]\nReady.\n> '
002F | b'*** BREAK INTO MONITOR AT $002F ***\nR0=$0059 R1=$000F R2=$E002 R3=$002F\nSP=$FEFA [30004CF216F0000000000000]\nReady.\n> '
0030 | Timed out, infinite loop?
0031 | ILLEGAL OPCODE
0032 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0000 R1=$0002 R2=$E002 R3=$0032\nSP=$FEFA [36004CF216F0000000000000]\nReady.\n> '
0033 | b'*** BREAK INTO MONITOR AT $0033 ***\nR0=$0059 R1=$0003 R2=$E002 R3=$0033\nSP=$FEFA [34004CF216F0000000000000]\nReady.\n> '
0034 | b'*** BREAK INTO MONITOR AT $0034 ***\nR0=$0059 R1=$0004 R2=$E002 R3=$0034\nSP=$FEFA [35004CF216F0000000000000]\nReady.\n> '
0035 | b'*** BREAK INTO MONITOR AT $0035 ***\nR0=$0059 R1=$0005 R2=$E002 R3=$0035\nSP=$FEFA [36004CF216F0000000000000]\nReady.\n> '
0036 | b'*** BREAK INTO MONITOR AT $0036 ***\nR0=$0059 R1=$0006 R2=$E002 R3=$0036\nSP=$FEFA [37004CF216F0000000000000]\nReady.\n> '
0037 | b'*** BREAK INTO MONITOR AT $0037 ***\nR0=$0059 R1=$0007 R2=$E002 R3=$0037\nSP=$FEFA [38004CF216F0000000000000]\nReady.\n> '
0038 | b'Ready.\n> '
0039 | ILLEGAL OPCODE
003A | b'*** BREAK INTO MONITOR AT $003B ***\nR0=$037A R1=$000A R2=$E002 R3=$003A\nSP=$FEFA [3C004CF216F0000000000000]\nReady.\n> '
003B | b'*** BREAK INTO MONITOR AT $003B ***\nR0=$0059 R1=$000B R2=$E002 R3=$003B\nSP=$FEFA [3C004CF216F0000000000000]\nReady.\n> '
003C | b'*** BREAK INTO MONITOR AT $003C ***\nR0=$0059 R1=$000C R2=$E002 R3=$003C\nSP=$FEFA [3D004CF216F0000000000000]\nReady.\n> '
003D | b'*** BREAK INTO MONITOR AT $003D ***\nR0=$0059 R1=$000D R2=$E002 R3=$003D\nSP=$FEFA [3E004CF216F0000000000000]\nReady.\n> '
003E | b'*** BREAK INTO MONITOR AT $003E ***\nR0=$0059 R1=$000E R2=$E002 R3=$003E\nSP=$FEFA [3F004CF216F0000000000000]\nReady.\n> '
003F | b'*** BREAK INTO MONITOR AT $003F ***\nR0=$0059 R1=$000F R2=$E002 R3=$003F\nSP=$FEFA [40004CF216F0000000000000]\nReady.\n> '
0040 | b'Ready.\n> '
0041 | b'Ready.\n> '
